name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Malaysia,2025-02-11,93.1,77.2,83.6,100.4,77.2,88.5,72.9,71.6,0,0,0,rain,0,0,12.1,11.8,240.4,1010.8,38.5,6.2,266.2,23.1,9,30,2025-02-11T07:27:13,2025-02-11T19:27:50,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-12,93.2,78.4,84.7,101.9,78.4,90.5,73.7,71,0,0,0,rain,0,0,10.7,8.6,249.6,1010.9,37.5,6.2,256.4,22.2,9,30,2025-02-12T07:27:08,2025-02-12T19:27:54,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-13,93.2,78.5,85.3,104.6,78.5,91.6,74,70.5,0,0,0,rain,0,0,10.5,9.6,270.4,1010.5,40.2,6.1,259.9,22.6,9,60,2025-02-13T07:27:03,2025-02-13T19:27:57,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-14,93.1,80.3,85,105,85.5,93.9,75.9,74.9,0,0,0,rain,0,0,14.3,10.5,307.3,1009.9,40.9,5.9,244.9,21.3,9,60,2025-02-14T07:26:56,2025-02-14T19:28:00,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-15,89.5,78.5,82.3,100.1,78.5,88.7,75.4,80.1,0.01,100,4.17,rain,0,0,13.2,8.6,293.9,1009.8,41.7,6,142.6,12.3,6,60,2025-02-15T07:26:49,2025-02-15T19:28:02,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-16,90.9,76.9,80.8,102.4,76.9,83.8,75,83.5,0.141,100,8.33,rain,0,0,11,9.2,298.2,1010.5,43.6,6,187.5,16.1,8,60,2025-02-16T07:26:41,2025-02-16T19:28:03,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-17,89.6,77,80.9,102.5,77,84.1,74.9,83.1,0.278,100,4.17,rain,0,0,15,9.6,294.6,1011,41.9,5.9,227.1,19.4,8,30,2025-02-17T07:26:32,2025-02-17T19:28:03,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-18,91,77.1,82.5,102.3,77.1,87.3,74.7,78.8,0.33,100,8.33,rain,0,0,25.3,9.5,291.4,1010.9,41.7,6.1,210.2,18,8,60,2025-02-18T07:26:23,2025-02-18T19:28:03,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-19,89.5,75.2,81.3,95.1,75.2,85,73.6,79,0,0,0,rain,0,0,14.3,7.7,234.6,1010.9,43.2,6,193.6,16.7,8,30,2025-02-19T07:26:13,2025-02-19T19:28:02,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-20,93.1,76.9,84,102.6,76.9,88.9,73.4,72.1,0,0,0,rain,0,0,19.2,7.5,299.1,1010.3,41.3,6.2,248.7,21.3,8,30,2025-02-20T07:26:02,2025-02-20T19:28:00,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
